Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
11.0,6063169.5,1833.962646484375,551197.25,166.723876953125,RedBloodCellsMicroscopic_Max,627,627,all,UrineTest
7.0,6881299.0,2570.889404296875,983042.6875,367.2699279785156,RedBloodCellsMicroscopic_Min,627,627,all,UrineTest
6.0,4589571.0,1517.8616943359375,764928.5,252.97694396972656,WhiteBloodCellsMicroscopic_Avg,627,627,all,UrineTest
6.0,1884558.375,946.528564453125,314093.0625,157.7547607421875,WhiteBloodCellsMicroscopic_Max,627,627,all,UrineTest
2.0,2299227.5,424.2083435058594,1149613.75,212.1041717529297,WhiteBloodCellsMicroscopic_Min,627,627,all,UrineTest
37.0,23035610.0,11670.7763671875,622584.0625,315.4263916015625,Milk_Avg,627,627,all,SpecificIgE
34.0,18040128.0,9612.0126953125,530592.0,282.7062683105469,Milk_Max,627,627,all,SpecificIgE
8.0,5164868.0,1429.587890625,645608.5,178.698486328125,Milk_Min,627,627,all,SpecificIgE
60.0,44975264.0,29752.583984375,749587.75,495.87640380859375,Cockroach_Avg,627,627,all,SpecificIgE
28.0,18235680.0,15273.197265625,651274.3125,545.4713134765625,Cockroach_Max,627,627,all,SpecificIgE
20.0,13285484.0,10689.947265625,664274.1875,534.4973754882812,Cockroach_Min,627,627,all,SpecificIgE
74.0,105665944.0,91155.453125,1427918.125,1231.8304443359375,EggWhite_Avg,627,627,all,SpecificIgE
47.0,59600636.0,69523.9609375,1268098.625,1479.233154296875,EggWhite_Max,627,627,all,SpecificIgE
50.0,77555328.0,70632.359375,1551106.5,1412.647216796875,EggWhite_Min,627,627,all,SpecificIgE
45.0,25283510.0,8981.2265625,561855.75,199.5828094482422,CatDander_Avg,627,627,all,SpecificIgE
31.0,10443605.0,8273.5146484375,336890.46875,266.8875732421875,CatDander_Max,627,627,all,SpecificIgE
40.0,20432256.0,6674.62060546875,510806.40625,166.86550903320312,CatDander_Min,627,627,all,SpecificIgE
45.0,44631156.0,26042.791015625,991803.4375,578.7286987304688,DogDander_Avg,627,627,all,SpecificIgE
34.0,22309088.0,18302.658203125,656149.625,538.3134765625,DogDander_Max,627,627,all,SpecificIgE
31.0,31225704.0,16066.9443359375,1007280.75,518.2885131835938,DogDander_Min,627,627,all,SpecificIgE
63.0,55685684.0,57842.6171875,883899.75,918.1367797851562,Ragweed_Avg,627,627,all,SpecificIgE
49.0,64649800.0,45239.88671875,1319383.625,923.2630004882812,Ragweed_Max,627,627,all,SpecificIgE
49.0,45932476.0,36499.3515625,937397.5,744.8847045898438,Ragweed_Min,627,627,all,SpecificIgE
77.0,58324672.0,81412.8125,757463.25,1057.3092041015625,RyeGrass_Avg,627,627,all,SpecificIgE
56.0,60300024.0,61966.8671875,1076786.125,1106.5511474609375,RyeGrass_Max,627,627,all,SpecificIgE
36.0,26194702.0,46391.4921875,727630.625,1288.652587890625,RyeGrass_Min,627,627,all,SpecificIgE
33.0,26066156.0,30230.373046875,789883.5,916.0718994140624,DustMites_Avg,627,627,all,SpecificIgE
22.0,11901888.0,23785.142578125,540994.9375,1081.142822265625,DustMites_Max,627,627,all,SpecificIgE
13.0,11383801.0,14329.4990234375,875677.0,1102.2691650390625,DustMites_Min,627,627,all,SpecificIgE
