[2024-09-02 16:21:53] PRINT [88]	train-poisson-nloglik:10.61716	train-roc_auc:0.83514	validation-poisson-nloglik:11.70800	validation-roc_auc:0.78122
[2024-09-02 16:21:53] PRINT [89]	train-poisson-nloglik:10.36437	train-roc_auc:0.83589	validation-poisson-nloglik:11.46492	validation-roc_auc:0.78271
[2024-09-02 16:21:53] PRINT [90]	train-poisson-nloglik:10.12784	train-roc_auc:0.83795	validation-poisson-nloglik:11.23308	validation-roc_auc:0.78392
[2024-09-02 16:21:53] PRINT [91]	train-poisson-nloglik:9.92581	train-roc_auc:0.83683	validation-poisson-nloglik:11.04730	validation-roc_auc:0.78238
[2024-09-02 16:21:53] PRINT [92]	train-poisson-nloglik:9.74244	train-roc_auc:0.83458	validation-poisson-nloglik:10.90805	validation-roc_auc:0.77826
[2024-09-02 16:21:53] PRINT [93]	train-poisson-nloglik:9.58681	train-roc_auc:0.83676	validation-poisson-nloglik:10.75857	validation-roc_auc:0.78223
[2024-09-02 16:21:53] PRINT [94]	train-poisson-nloglik:9.44210	train-roc_auc:0.84005	validation-poisson-nloglik:10.65228	validation-roc_auc:0.78776
[2024-09-02 16:21:53] PRINT [95]	train-poisson-nloglik:9.31276	train-roc_auc:0.83855	validation-poisson-nloglik:10.54358	validation-roc_auc:0.78521
[2024-09-02 16:21:53] PRINT [96]	train-poisson-nloglik:9.18012	train-roc_auc:0.84014	validation-poisson-nloglik:10.44970	validation-roc_auc:0.78802
[2024-09-02 16:21:53] PRINT [97]	train-poisson-nloglik:9.07184	train-roc_auc:0.84137	validation-poisson-nloglik:10.33986	validation-roc_auc:0.79070
[2024-09-02 16:21:53] PRINT [98]	train-poisson-nloglik:8.97545	train-roc_auc:0.84073	validation-poisson-nloglik:10.23562	validation-roc_auc:0.79188
[2024-09-02 16:21:53] PRINT [99]	train-poisson-nloglik:8.88086	train-roc_auc:0.84150	validation-poisson-nloglik:10.16874	validation-roc_auc:0.79355
[2024-09-02 16:21:53] PRINT [100]	train-poisson-nloglik:8.81260	train-roc_auc:0.84295	validation-poisson-nloglik:10.16665	validation-roc_auc:0.79436
[2024-09-02 16:21:53] PRINT [101]	train-poisson-nloglik:8.74756	train-roc_auc:0.84314	validation-poisson-nloglik:10.11094	validation-roc_auc:0.79706
[2024-09-02 16:21:53] PRINT [102]	train-poisson-nloglik:8.68359	train-roc_auc:0.84216	validation-poisson-nloglik:10.12265	validation-roc_auc:0.79307
[2024-09-02 16:21:53] PRINT [103]	train-poisson-nloglik:8.60961	train-roc_auc:0.84264	validation-poisson-nloglik:10.10802	validation-roc_auc:0.79337
[2024-09-02 16:21:53] PRINT [104]	train-poisson-nloglik:8.56045	train-roc_auc:0.84378	validation-poisson-nloglik:10.09580	validation-roc_auc:0.79469
[2024-09-02 16:21:53] PRINT [105]	train-poisson-nloglik:8.51349	train-roc_auc:0.84321	validation-poisson-nloglik:10.11311	validation-roc_auc:0.79535
[2024-09-02 16:21:53] PRINT [106]	train-poisson-nloglik:8.45294	train-roc_auc:0.84424	validation-poisson-nloglik:10.09282	validation-roc_auc:0.79364
[2024-09-02 16:21:53] PRINT [107]	train-poisson-nloglik:8.41127	train-roc_auc:0.84554	validation-poisson-nloglik:10.08184	validation-roc_auc:0.79517
[2024-09-02 16:21:53] PRINT [108]	train-poisson-nloglik:8.35628	train-roc_auc:0.84538	validation-poisson-nloglik:10.09324	validation-roc_auc:0.79513
[2024-09-02 16:21:53] PRINT [109]	train-poisson-nloglik:8.29011	train-roc_auc:0.84652	validation-poisson-nloglik:10.06575	validation-roc_auc:0.79829
[2024-09-02 16:21:53] PRINT [110]	train-poisson-nloglik:8.24243	train-roc_auc:0.84790	validation-poisson-nloglik:10.08512	validation-roc_auc:0.79873
