[2024-09-02 16:20:52] PRINT [102]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [103]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [104]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [105]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [106]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [107]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [108]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [109]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [110]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [111]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [112]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [113]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [114]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [115]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [116]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [117]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
