[2024-09-02 16:20:19] PRINT [106]	train-poisson-nloglik:1.09080	train-roc_auc:0.96709	validation-poisson-nloglik:1.19024	validation-roc_auc:0.87184
[2024-09-02 16:20:19] PRINT [107]	train-poisson-nloglik:1.09041	train-roc_auc:0.96756	validation-poisson-nloglik:1.19052	validation-roc_auc:0.87171
[2024-09-02 16:20:19] PRINT [108]	train-poisson-nloglik:1.09002	train-roc_auc:0.96773	validation-poisson-nloglik:1.19059	validation-roc_auc:0.87159
[2024-09-02 16:20:19] PRINT [109]	train-poisson-nloglik:1.08982	train-roc_auc:0.96786	validation-poisson-nloglik:1.19027	validation-roc_auc:0.87263
[2024-09-02 16:20:19] PRINT [110]	train-poisson-nloglik:1.08974	train-roc_auc:0.96789	validation-poisson-nloglik:1.19041	validation-roc_auc:0.87280
[2024-09-02 16:20:19] PRINT [111]	train-poisson-nloglik:1.08952	train-roc_auc:0.96803	validation-poisson-nloglik:1.19023	validation-roc_auc:0.87317
[2024-09-02 16:20:19] PRINT [112]	train-poisson-nloglik:1.08937	train-roc_auc:0.96816	validation-poisson-nloglik:1.19020	validation-roc_auc:0.87334
[2024-09-02 16:20:20] PRINT [113]	train-poisson-nloglik:1.08920	train-roc_auc:0.96835	validation-poisson-nloglik:1.19018	validation-roc_auc:0.87351
[2024-09-02 16:20:20] PRINT [114]	train-poisson-nloglik:1.08901	train-roc_auc:0.96849	validation-poisson-nloglik:1.19033	validation-roc_auc:0.87334
[2024-09-02 16:20:20] PRINT [115]	train-poisson-nloglik:1.08864	train-roc_auc:0.96888	validation-poisson-nloglik:1.19002	validation-roc_auc:0.87321
[2024-09-02 16:20:20] PRINT [116]	train-poisson-nloglik:1.08821	train-roc_auc:0.96927	validation-poisson-nloglik:1.19086	validation-roc_auc:0.87363
[2024-09-02 16:20:20] PRINT [117]	train-poisson-nloglik:1.08809	train-roc_auc:0.96945	validation-poisson-nloglik:1.19098	validation-roc_auc:0.87342
[2024-09-02 16:20:20] PRINT [118]	train-poisson-nloglik:1.08786	train-roc_auc:0.96971	validation-poisson-nloglik:1.19091	validation-roc_auc:0.87338
[2024-09-02 16:20:20] PRINT [119]	train-poisson-nloglik:1.08746	train-roc_auc:0.96998	validation-poisson-nloglik:1.19197	validation-roc_auc:0.87301
[2024-09-02 16:20:20] PRINT [120]	train-poisson-nloglik:1.08734	train-roc_auc:0.97012	validation-poisson-nloglik:1.19192	validation-roc_auc:0.87338
[2024-09-02 16:20:20] PRINT [121]	train-poisson-nloglik:1.08698	train-roc_auc:0.97043	validation-poisson-nloglik:1.19192	validation-roc_auc:0.87296
[2024-09-02 16:20:20] PRINT [122]	train-poisson-nloglik:1.08671	train-roc_auc:0.97069	validation-poisson-nloglik:1.19201	validation-roc_auc:0.87288
[2024-09-02 16:20:20] PRINT [123]	train-poisson-nloglik:1.08648	train-roc_auc:0.97070	validation-poisson-nloglik:1.19179	validation-roc_auc:0.87296
[2024-09-02 16:20:20] PRINT [124]	train-poisson-nloglik:1.08622	train-roc_auc:0.97096	validation-poisson-nloglik:1.19178	validation-roc_auc:0.87330
[2024-09-02 16:20:20] PRINT [125]	train-poisson-nloglik:1.08600	train-roc_auc:0.97119	validation-poisson-nloglik:1.19173	validation-roc_auc:0.87367
[2024-09-02 16:20:20] PRINT [126]	train-poisson-nloglik:1.08578	train-roc_auc:0.97121	validation-poisson-nloglik:1.19166	validation-roc_auc:0.87392
[2024-09-02 16:20:20] PRINT [127]	train-poisson-nloglik:1.08514	train-roc_auc:0.97182	validation-poisson-nloglik:1.19323	validation-roc_auc:0.87401
[2024-09-02 16:20:20] PRINT [128]	train-poisson-nloglik:1.08501	train-roc_auc:0.97192	validation-poisson-nloglik:1.19337	validation-roc_auc:0.87330
[2024-09-02 16:20:20] PRINT [129]	train-poisson-nloglik:1.08495	train-roc_auc:0.97194	validation-poisson-nloglik:1.19354	validation-roc_auc:0.87334
[2024-09-02 16:20:20] PRINT [130]	train-poisson-nloglik:1.08471	train-roc_auc:0.97221	validation-poisson-nloglik:1.19379	validation-roc_auc:0.87347
[2024-09-02 16:20:20] PRINT [131]	train-poisson-nloglik:1.08445	train-roc_auc:0.97238	validation-poisson-nloglik:1.19399	validation-roc_auc:0.87317
[2024-09-02 16:20:20] PRINT [132]	train-poisson-nloglik:1.08396	train-roc_auc:0.97291	validation-poisson-nloglik:1.19439	validation-roc_auc:0.87288
[2024-09-02 16:20:20] PRINT [133]	train-poisson-nloglik:1.08375	train-roc_auc:0.97314	validation-poisson-nloglik:1.19447	validation-roc_auc:0.87363
[2024-09-02 16:20:20] PRINT [134]	train-poisson-nloglik:1.08346	train-roc_auc:0.97354	validation-poisson-nloglik:1.19490	validation-roc_auc:0.87351
[2024-09-02 16:20:20] PRINT [135]	train-poisson-nloglik:1.08310	train-roc_auc:0.97389	validation-poisson-nloglik:1.19524	validation-roc_auc:0.87292
[2024-09-02 16:20:20] PRINT [136]	train-poisson-nloglik:1.08281	train-roc_auc:0.97401	validation-poisson-nloglik:1.19574	validation-roc_auc:0.87242
[2024-09-02 16:20:20] PRINT [137]	train-poisson-nloglik:1.08267	train-roc_auc:0.97403	validation-poisson-nloglik:1.19591	validation-roc_auc:0.87217
